No,可否,祭りの名称,*,開催日１,開始時間1,終了時間1,開催日２,開始時間2,終了時間2,開催日３,開始時間3,終了時間3,備考,*,会場名称,会場住所,会場住所コード,会場緯度,会場経度,*,<踊り>,<歌唱>,<太鼓>,<演奏>,<出店・屋台>,<花火>,<その他>,*,目玉イベント1,目玉イベント2,*,一般参加,一般条件,*,url,主催団体1,主催団体2,主催団体3,*
410,1,大宮台　夏まつり,1,7/24/15,18:00,21:00,7/25/15,18:00,21:00,7/26/15,18:00,21:00,,1,大宮小学校校庭,千葉市若葉区大宮台7丁目8-1,121040008,35.596626,140.181976,1,1,0,1,0,1,0,花車の運行,1,みこしパレード,,1,2,大宮台住民、PTA,1,,大宮台自治会,,,1
411,1,いずみ台ローズタウン夏祭り・盆踊り,1,7/25/15,09:00,21:00,7/26/15,18:00,21:00,,,,7/25 9:00～子供みこし,1,多部田第2公園,千葉市若葉区多部田町754-50,121040032,35.598066,140.194776,1,1,0,1,0,1,0,,1,,,,1,,1,,いずみ台ローズタウン自治会,,,1
413,1,第2回若松町親和自治会夏祭り,1,8/1/15,17:00,20:00,,,,,,,,1,若松公園,千葉市若葉区若松町361-54,121040052,35.640019,140.165033,1,1,0,1,0,1,0,じゃんけん大会,1,太鼓体験会、じゃんけん大会,ポスター表彰式,1,1,,1,,若松町親和自治会,,,1
414,1,若松町南部自治会 納涼盆おどり大会,1,7/18/15,18:00,20:30,,,,,,,,1,若松中学校駐車場,千葉市若葉区若松町2106－2,121040052,35.636227,140.168655,1,1,0,1,0,1,0,,1,,,,1,,1,,若松町南部自治会,,,1
415,1,一丁目・二丁目合同夏祭り「納涼の夕べ」,1,7/25/15,09:00,17:00,,,,,,,,1,若松台小学校,千葉市若葉区若松台2丁目25－1,121040051,35.65027778,140.1718333,1,1,0,1,0,0,0,,1,,,,1,,1,,若松台一丁目自治会,若松台二丁目自治会,,1
417,1,納涼大会,1,7/25/15,09:00,20:00,7/26/15,09:00,20:00,,,,,1,小倉台公園,千葉市若葉区小倉台4丁目7,121040010,35.629307,140.170792,1,1,0,1,1,1,1,花火大会（祭り１日目のみ）,1,,,,1,,1,,小倉小学校地区会長会,小倉商店街,,1
420,1,みつわ台5丁目連合 納涼盆踊り大会,1,7/25/15,18:00,20:30,7/26/15,18:00,20:00,,,,雨天は7/27に順延,1,源弁天公園,千葉市若葉区みつわ台5丁目47,121040048,35.646593,140.140033,1,1,0,1,0,1,1,,1,抽選会、ビンゴ大会,花火大会,1,1,,1,,5丁目連合会（6自治会合同）,,,1
423,1,みつわ台夏祭り,1,8/8/15,14:00,20:00,8/9/15,14:00,20:00,,,,店は21:00まで,1,みつわ台3丁目第二公園野球場,千葉市若葉区みつわ台3丁目3-1,121040048,35.640957,140.136292,1,1,1,1,1,1,0,,1,,,,1,,1,,みつわ台2丁目中央自治会他12団体,,,1
424,1,みつわ台桜まつり,1,4/2/16,14:00,21:00,4/3/16,14:00,21:00,,,,,1,みつわ台3丁目桜通り,千葉市若葉区みつわ台3丁目,121040048,35.63904,140.138155,1,1,1,1,1,1,0,ゆるキャラと撮影会、猿回し,1,,,,1,,1,,みつわ台2丁目中央自治会他12団体,みつわ台3丁目自治会,みつわ台3-13団地管理組合,1
425,1,都賀の台夏祭盆踊り大会,1,8/22/15,14:30,20:00,,,,,,,,1,都賀の台小学校,千葉市若葉区都賀の台2丁目13－1,121040039,35.643883,140.14183,1,1,0,1,0,1,0,子供神輿町内パレード,1,盆踊り（8/22 18時～20時）,,1,1,,1,,都賀の台自治会,,,1
